K,Validation_Fold,Training_Folds,Training_Samples,Validation_Samples,TN,FP,FN,TP,Recall_Normal,Recall_Normal_Percent,Recall_Abnormal,Recall_Abnormal_Percent,Correct_Predictions,Total_Predictions,Accuracy,Accuracy_Percent
1,1,2+3+4+5,800,200,27,1,6,166,0.9642857142857143,96.42857142857143,0.9651162790697675,96.51162790697676,193,200,0.965,96.5
3,1,2+3+4+5,800,200,26,2,5,167,0.9285714285714286,92.85714285714286,0.9709302325581395,97.09302325581395,193,200,0.965,96.5
5,1,2+3+4+5,800,200,27,1,3,169,0.9642857142857143,96.42857142857143,0.9825581395348837,98.25581395348837,196,200,0.98,98.0
7,1,2+3+4+5,800,200,27,1,5,167,0.9642857142857143,96.42857142857143,0.9709302325581395,97.09302325581395,194,200,0.97,97.0
9,1,2+3+4+5,800,200,27,1,5,167,0.9642857142857143,96.42857142857143,0.9709302325581395,97.09302325581395,194,200,0.97,97.0
11,1,2+3+4+5,800,200,27,1,6,166,0.9642857142857143,96.42857142857143,0.9651162790697675,96.51162790697676,193,200,0.965,96.5
13,1,2+3+4+5,800,200,28,0,6,166,1.0,100.0,0.9651162790697675,96.51162790697676,194,200,0.97,97.0
1,2,1+3+4+5,800,200,37,1,4,158,0.9736842105263158,97.36842105263158,0.9753086419753086,97.53086419753086,195,200,0.975,97.5
3,2,1+3+4+5,800,200,37,1,2,160,0.9736842105263158,97.36842105263158,0.9876543209876543,98.76543209876543,197,200,0.985,98.5
5,2,1+3+4+5,800,200,37,1,2,160,0.9736842105263158,97.36842105263158,0.9876543209876543,98.76543209876543,197,200,0.985,98.5
7,2,1+3+4+5,800,200,37,1,3,159,0.9736842105263158,97.36842105263158,0.9814814814814815,98.14814814814815,196,200,0.98,98.0
9,2,1+3+4+5,800,200,37,1,3,159,0.9736842105263158,97.36842105263158,0.9814814814814815,98.14814814814815,196,200,0.98,98.0
11,2,1+3+4+5,800,200,37,1,3,159,0.9736842105263158,97.36842105263158,0.9814814814814815,98.14814814814815,196,200,0.98,98.0
13,2,1+3+4+5,800,200,37,1,2,160,0.9736842105263158,97.36842105263158,0.9876543209876543,98.76543209876543,197,200,0.985,98.5
1,3,1+2+4+5,800,200,34,1,3,162,0.9714285714285714,97.14285714285714,0.9818181818181818,98.18181818181819,196,200,0.98,98.0
3,3,1+2+4+5,800,200,34,1,4,161,0.9714285714285714,97.14285714285714,0.9757575757575757,97.57575757575758,195,200,0.975,97.5
5,3,1+2+4+5,800,200,34,1,4,161,0.9714285714285714,97.14285714285714,0.9757575757575757,97.57575757575758,195,200,0.975,97.5
7,3,1+2+4+5,800,200,34,1,4,161,0.9714285714285714,97.14285714285714,0.9757575757575757,97.57575757575758,195,200,0.975,97.5
9,3,1+2+4+5,800,200,34,1,3,162,0.9714285714285714,97.14285714285714,0.9818181818181818,98.18181818181819,196,200,0.98,98.0
11,3,1+2+4+5,800,200,34,1,3,162,0.9714285714285714,97.14285714285714,0.9818181818181818,98.18181818181819,196,200,0.98,98.0
13,3,1+2+4+5,800,200,34,1,3,162,0.9714285714285714,97.14285714285714,0.9818181818181818,98.18181818181819,196,200,0.98,98.0
1,4,1+2+3+5,800,200,24,1,2,173,0.96,96.0,0.9885714285714285,98.85714285714286,197,200,0.985,98.5
3,4,1+2+3+5,800,200,25,0,0,175,1.0,100.0,1.0,100.0,200,200,1.0,100.0
5,4,1+2+3+5,800,200,25,0,3,172,1.0,100.0,0.9828571428571429,98.28571428571429,197,200,0.985,98.5
7,4,1+2+3+5,800,200,25,0,1,174,1.0,100.0,0.9942857142857143,99.42857142857143,199,200,0.995,99.5
9,4,1+2+3+5,800,200,25,0,2,173,1.0,100.0,0.9885714285714285,98.85714285714286,198,200,0.99,99.0
11,4,1+2+3+5,800,200,25,0,3,172,1.0,100.0,0.9828571428571429,98.28571428571429,197,200,0.985,98.5
13,4,1+2+3+5,800,200,25,0,3,172,1.0,100.0,0.9828571428571429,98.28571428571429,197,200,0.985,98.5
1,5,1+2+3+4,800,200,31,3,0,166,0.9117647058823529,91.17647058823529,1.0,100.0,197,200,0.985,98.5
3,5,1+2+3+4,800,200,32,2,2,164,0.9411764705882353,94.11764705882352,0.9879518072289156,98.79518072289156,196,200,0.98,98.0
5,5,1+2+3+4,800,200,32,2,2,164,0.9411764705882353,94.11764705882352,0.9879518072289156,98.79518072289156,196,200,0.98,98.0
7,5,1+2+3+4,800,200,32,2,3,163,0.9411764705882353,94.11764705882352,0.9819277108433735,98.19277108433735,195,200,0.975,97.5
9,5,1+2+3+4,800,200,32,2,3,163,0.9411764705882353,94.11764705882352,0.9819277108433735,98.19277108433735,195,200,0.975,97.5
11,5,1+2+3+4,800,200,32,2,3,163,0.9411764705882353,94.11764705882352,0.9819277108433735,98.19277108433735,195,200,0.975,97.5
13,5,1+2+3+4,800,200,32,2,3,163,0.9411764705882353,94.11764705882352,0.9819277108433735,98.19277108433735,195,200,0.975,97.5
